2024,31180611010502,to_in_002,37.9
2024,31180630020303,to_in_002,38.3
2024,31180630030103,to_in_002,53.7
2024,31180611010402,to_in_002,35.3
2024,31180611010401,to_in_002,34.2
2024,31180630030306,to_in_002,41.8
2024,31180630030303,to_in_002,41.7
2024,31180670010301,to_in_002,32.5
2024,31180670010306,to_in_002,31.2
2024,31180670010305,to_in_002,33.0
2024,31180670010304,to_in_002,33.7
2024,31180530020102,to_in_002,35.2
2024,31180530020203,to_in_002,37.6
2024,31180620010105,to_in_002,41.8
2024,31180620010103,to_in_002,42.2
2024,31180620010106,to_in_002,38.2
2024,31180550010502,to_in_002,50.1
2024,31180620010101,to_in_002,37.0
2024,31180620010104,to_in_002,38.4
2024,31180530020204,to_in_002,38.6
2024,31180530030507,to_in_002,45.2
2024,31180530020202,to_in_002,38.4
2024,31180620010102,to_in_002,41.8
2024,31180530020403,to_in_002,48.6
2024,31180520010009,to_in_002,48.0
2024,31180510010001,to_in_002,46.2
2024,31180510030003,to_in_002,47.3
2024,31180510040001,to_in_002,55.8
2024,31180530010003,to_in_002,49.5
2024,31180530010101,to_in_002,44.9
2024,31180530010201,to_in_002,50.4
2024,31180510020001,to_in_002,55.2
2024,31180510030001,to_in_002,47.5
2024,31180510030002,to_in_002,49.4
2024,31180520010005,to_in_002,52.5
2024,31180510050003,to_in_002,55.2
2024,31180510050006,to_in_002,52.1
2024,31180510050001,to_in_002,60.6
2024,31180520010012,to_in_002,46.5
2024,31180520010010,to_in_002,47.0
2024,31180520010006,to_in_002,51.1
2024,31180530020105,to_in_002,37.4
2024,31180510050004,to_in_002,59.0
2024,31180510050005,to_in_002,48.5
2024,31180520010003,to_in_002,51.0
2024,31180520010013,to_in_002,38.7
2024,31180530020103,to_in_002,34.1
2024,31180510050002,to_in_002,50.5
2024,31180520010002,to_in_002,42.5
2024,31180520010007,to_in_002,47.9
2024,31180520010008,to_in_002,43.4
2024,31180520010004,to_in_002,47.3
2024,31180530020104,to_in_002,37.3
2024,31180520010001,to_in_002,48.5
2024,31180520010011,to_in_002,56.6
2024,31180520010101,to_in_002,44.4
2024,31180520010301,to_in_002,50.2
2024,31180530010001,to_in_002,51.0
2024,31180530020409,to_in_002,46.8
2024,31180530020402,to_in_002,47.0
2024,31180530010002,to_in_002,51.4
2024,31180530010004,to_in_002,49.9
2024,31180530020004,to_in_002,47.3
